Year,Disease,Gender,WR Count,WR Crude Rate per 100000,WR 5 Year Average Rate,ON Crude Rate per 100000,ON 5 Year Average Rate
2016,Hepatitis C,Female,45,16.23,N/A,24.14,N/A
2016,HIV,Female,3,1.08,N/A,2.34,N/A
2016,Influenza,Female,264,95.21,N/A,106.94,N/A
2016,Legionellosis,Female,5,1.80,N/A,0.60,N/A
2016,Leprosy,Female,0,0.00,N/A,0.03,N/A
2016,Listeriosis,Female,1,0.36,N/A,0.71,N/A
2016,Lyme Disease,Female,2,0.72,N/A,2.68,N/A
2016,Measles,Female,0,0.00,N/A,0.04,N/A
2016,Tularemia,Female,0,0.00,N/A,0.00,N/A
2016,Typhoid Fever/Paratyphoid Fever,Female,1,0.36,N/A,0.72,N/A
2016,Verotoxin-producing E. coli,Female,5,1.80,N/A,1.32,N/A
2016,Yersiniosis,Female,6,2.16,N/A,1.86,N/A
2016,"Meningococcal disease, invasive",Female,0,0.00,N/A,0.23,N/A
2016,Mpox,Female,0,0.00,N/A,0.00,N/A
2016,Mumps,Female,1,0.36,N/A,0.24,N/A
2016,Ophthalmia Neonatorum,Female,0,0.00,N/A,0.03,N/A
2016,Paralytic Shellfish Poisoning,Female,0,0.00,N/A,0.00,N/A
2016,Pertussis,Female,6,2.16,N/A,3.78,N/A
2016,Poliomyelitis (polio) and Acute Flaccid Paralysis,Female,1,0.36,N/A,0.04,N/A
2016,Powassan Virus,Female,0,0.00,N/A,0.00,N/A
2016,Psittacosis/Ornithosis,Female,0,0.00,N/A,0.00,N/A
2016,Q Fever,Female,0,0.00,N/A,0.04,N/A
2016,Rabies,Female,0,0.00,N/A,0.00,N/A
2016,Rubella,Female,0,0.00,N/A,0.00,N/A
2016,"Rubella, congenital syndrome",Female,0,0.00,N/A,0.00,N/A
2016,Salmonellosis,Female,64,23.08,N/A,22.79,N/A
2016,Severe acute respiratory syndrome (SARS),Female,0,0.00,N/A,0.00,N/A
2016,Shigellosis,Female,2,0.72,N/A,1.85,N/A
2016,Smallpox,Female,0,0.00,N/A,0.00,N/A
2016,"Streptococcus Pneumoniae, Invasive ",Female,31,11.18,N/A,6.79,N/A
2016,Syphilis - Early Congenital,Female,0,0.00,N/A,0.03,N/A
2016,Syphilis - Infectious,Female,1,0.36,N/A,0.99,N/A
2016,Syphilis - Late Latent,Female,5,1.80,N/A,3.08,N/A
2016,Tetanus,Female,0,0.00,N/A,0.00,N/A
2016,Trichinosis,Female,0,0.00,N/A,0.00,N/A
2016,Tuberculosis (active),Female,6,2.16,N/A,4.20,N/A
2016,Tuberculosis (latent),Female,230,82.95,N/A,68.64,N/A
2016,Syphilis - Other,Female,1,0.36,N/A,0.13,N/A
2016,West Nile virus (WNv),Female,0,0.00,N/A,0.38,N/A
2017,AIDS,Male,2,0.71,N/A,0.73,N/A
2017,Amebiasis,Male,11,3.89,N/A,7.69,N/A
2017,Anaplasmosis,Male,0,0.00,N/A,0.00,N/A
2017,Anthrax,Male,0,0.00,N/A,0.00,N/A
2017,Babesiosis,Male,0,0.00,N/A,0.00,N/A
2017,Blastomycosis,Male,1,0.35,N/A,0.07,N/A
2017,Botulism,Male,0,0.00,N/A,0.00,N/A
2017,Brucellosis,Male,0,0.00,N/A,0.00,N/A
2017,Campylobacter enteritis,Male,94,33.27,N/A,26.75,N/A
2017,Chancroid,Male,0,0.00,N/A,0.00,N/A
2017,Chickenpox (Varicella),Male,0,0.00,N/A,2.36,N/A
2017,Chlamydia,Male,691,244.56,N/A,265.65,N/A
2017,Cholera,Male,0,0.00,N/A,0.03,N/A
2017,Creutzfeldt-Jakob Disease,Male,0,0.00,N/A,0.06,N/A
2017,Cryptosporidiosis,Male,7,2.48,N/A,2.65,N/A
2017,Cyclosporiasis,Male,4,1.42,N/A,1.71,N/A
2017,Diphtheria,Male,0,0.00,N/A,0.00,N/A
2017,Food Poisoning (all causes),Male,0,0.00,N/A,0.45,N/A
2017,Carbapenemase-producing Enterobacteriaceae (CPE),Male,0,0.00,N/A,0.00,N/A
2017,Encephalitis/Meningitis,Male,11,3.89,N/A,3.59,N/A
2017,Giardiasis,Male,28,9.91,N/A,13.02,N/A
2017,Gonorrhea,Male,221,78.22,N/A,79.67,N/A
2017,"Group A Streptococcal disease, invasive",Male,14,4.95,N/A,7.63,N/A
2017,"Group B Streptococcal disease, neonatal",Male,1,0.35,N/A,0.46,N/A
2017,"Haemophilus influenzae disease, all types",Male,0,0.00,N/A,0.10,N/A
2017,Hantavirus pulmonary syndrome,Male,0,0.00,N/A,0.00,N/A
2017,Hemorrhagic fevers and Lassa fever,Male,0,0.00,N/A,0.00,N/A
2017,Hepatitis A,Male,2,0.71,N/A,1.05,N/A
2017,Hepatitis B (acute),Male,1,0.35,N/A,0.78,N/A
2017,Hepatitis B (chronic),Male,58,20.53,N/A,17.03,N/A
2017,Hepatitis C,Male,80,28.31,N/A,42.56,N/A
2017,HIV,Male,8,2.83,N/A,9.55,N/A
2017,Influenza,Male,179,63.35,N/A,77.93,N/A
2017,Legionellosis,Male,10,3.54,N/A,2.04,N/A
2017,Leprosy,Male,0,0.00,N/A,0.03,N/A
2017,Listeriosis,Male,0,0.00,N/A,0.45,N/A
2017,Lyme Disease,Male,2,0.71,N/A,8.83,N/A
2017,Measles,Male,0,0.00,N/A,0.04,N/A
2017,Tularemia,Male,0,0.00,N/A,0.01,N/A
2017,Typhoid Fever/Paratyphoid Fever,Male,2,0.71,N/A,1.05,N/A
2017,Verotoxin-producing E. coli,Male,2,0.71,N/A,0.85,N/A
2017,Yersiniosis,Male,9,3.19,N/A,2.07,N/A
2017,"Meningococcal disease, invasive",Male,0,0.00,N/A,0.19,N/A
2017,Mpox,Male,0,0.00,N/A,0.00,N/A
2017,Mumps,Male,3,1.06,N/A,2.07,N/A
2017,Ophthalmia Neonatorum,Male,0,0.00,N/A,0.01,N/A
2017,Paralytic Shellfish Poisoning,Male,0,0.00,N/A,0.00,N/A
2017,Pertussis,Male,6,2.12,N/A,3.95,N/A
