Year,Disease,Age Group,WR Count,WR Crude Rate per 100000,WR 5 Year Average Rate,ON Crude Rate per 100000,ON 5 Year Average Rate
2015,"Group B Streptococcal disease, neonatal",20-29,0,0.00,N/A,0.00,N/A
2015,"Haemophilus influenzae disease, all types",20-29,0,0.00,N/A,0.05,N/A
2015,Hantavirus pulmonary syndrome,20-29,0,0.00,N/A,0.00,N/A
2015,Hemorrhagic fevers and Lassa fever,20-29,0,0.00,N/A,0.00,N/A
2015,Hepatitis A,20-29,0,0.00,N/A,0.85,N/A
2015,Hepatitis B (acute),20-29,0,0.00,N/A,0.32,N/A
2015,Hepatitis B (chronic),20-29,16,19.81,N/A,20.47,N/A
2015,Hepatitis C,20-29,30,37.15,N/A,52.34,N/A
2015,HIV,20-29,2,2.48,N/A,11.30,N/A
2015,Influenza,20-29,11,13.62,N/A,18.07,N/A
2015,Legionellosis,20-29,0,0.00,N/A,0.11,N/A
2015,Leprosy,20-29,0,0.00,N/A,0.00,N/A
2015,Listeriosis,20-29,0,0.00,N/A,0.00,N/A
2015,Lyme Disease,20-29,2,2.48,N/A,2.08,N/A
2015,Measles,20-29,0,0.00,N/A,0.21,N/A
2015,Tularemia,20-29,0,0.00,N/A,0.00,N/A
2015,Typhoid Fever/Paratyphoid Fever,20-29,1,1.24,N/A,1.39,N/A
2015,Verotoxin-producing E. coli,20-29,1,1.24,N/A,1.33,N/A
2015,Yersiniosis,20-29,2,2.48,N/A,1.92,N/A
2015,"Meningococcal disease, invasive",20-29,0,0.00,N/A,0.21,N/A
2015,Mpox,20-29,0,0.00,N/A,0.00,N/A
2015,Mumps,20-29,0,0.00,N/A,0.27,N/A
2015,Ophthalmia Neonatorum,20-29,0,0.00,N/A,0.00,N/A
2015,Paralytic Shellfish Poisoning,20-29,0,0.00,N/A,0.00,N/A
2015,Pertussis,20-29,4,4.95,N/A,2.35,N/A
2015,Poliomyelitis (polio) and Acute Flaccid Paralysis,20-29,0,0.00,N/A,0.00,N/A
2015,Powassan Virus,20-29,0,0.00,N/A,0.00,N/A
2015,Psittacosis/Ornithosis,20-29,0,0.00,N/A,0.00,N/A
2015,Q Fever,20-29,0,0.00,N/A,0.00,N/A
2015,Rabies,20-29,0,0.00,N/A,0.00,N/A
2015,Rubella,20-29,0,0.00,N/A,0.00,N/A
2015,"Rubella, congenital syndrome",20-29,0,0.00,N/A,0.00,N/A
2015,Salmonellosis,20-29,26,32.19,N/A,22.54,N/A
2015,Severe acute respiratory syndrome (SARS),20-29,0,0.00,N/A,0.00,N/A
2015,Shigellosis,20-29,2,2.48,N/A,2.19,N/A
2015,Smallpox,20-29,0,0.00,N/A,0.00,N/A
2015,"Streptococcus Pneumoniae, Invasive ",20-29,2,2.48,N/A,1.17,N/A
2015,Syphilis - Early Congenital,20-29,0,0.00,N/A,0.00,N/A
2015,Syphilis - Infectious,20-29,12,14.86,N/A,13.96,N/A
2015,Syphilis - Late Latent,20-29,3,3.71,N/A,3.14,N/A
2015,Tetanus,20-29,0,0.00,N/A,0.00,N/A
2015,Trichinosis,20-29,0,0.00,N/A,0.00,N/A
2015,Tuberculosis (active),20-29,4,4.95,N/A,4.64,N/A
2015,Tuberculosis (latent),20-29,106,131.25,N/A,103.61,N/A
2015,Syphilis - Other,20-29,0,0.00,N/A,0.27,N/A
2015,West Nile virus (WNv),20-29,0,0.00,N/A,0.00,N/A
2015,AIDS,30-39,0,0.00,N/A,0.73,N/A
2015,Amebiasis,30-39,4,5.33,N/A,10.04,N/A
2015,Anaplasmosis,30-39,0,0.00,N/A,0.00,N/A
2015,Anthrax,30-39,0,0.00,N/A,0.00,N/A
2015,Babesiosis,30-39,0,0.00,N/A,0.00,N/A
2015,Blastomycosis,30-39,0,0.00,N/A,0.00,N/A
2015,Botulism,30-39,0,0.00,N/A,0.00,N/A
2015,Brucellosis,30-39,0,0.00,N/A,0.06,N/A
2015,Campylobacter enteritis,30-39,18,23.97,N/A,24.32,N/A
2015,Chancroid,30-39,0,0.00,N/A,0.00,N/A
2015,Chickenpox (Varicella),30-39,1,1.33,N/A,2.01,N/A
2015,Chlamydia,30-39,220,293.01,N/A,356.18,N/A
2015,Cholera,30-39,0,0.00,N/A,0.00,N/A
2015,Creutzfeldt-Jakob Disease,30-39,0,0.00,N/A,0.00,N/A
2015,Cryptosporidiosis,30-39,4,5.33,N/A,3.35,N/A
2015,Cyclosporiasis,30-39,7,9.32,N/A,2.96,N/A
2015,Diphtheria,30-39,0,0.00,N/A,0.00,N/A
2015,Food Poisoning (all causes),30-39,0,0.00,N/A,0.39,N/A
2015,Carbapenemase-producing Enterobacteriaceae (CPE),30-39,0,0.00,N/A,0.00,N/A
2015,Encephalitis/Meningitis,30-39,4,5.33,N/A,2.73,N/A
2015,Giardiasis,30-39,7,9.32,N/A,15.00,N/A
2015,Gonorrhea,30-39,46,61.26,N/A,80.32,N/A
2015,"Group A Streptococcal disease, invasive",30-39,3,4.00,N/A,4.24,N/A
2015,"Group B Streptococcal disease, neonatal",30-39,0,0.00,N/A,0.00,N/A
2015,"Haemophilus influenzae disease, all types",30-39,0,0.00,N/A,0.00,N/A
2015,Hantavirus pulmonary syndrome,30-39,0,0.00,N/A,0.00,N/A
2015,Hemorrhagic fevers and Lassa fever,30-39,0,0.00,N/A,0.00,N/A
